label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0,0.0,0.0,0.0,0.2369227188772596,-0.13788803750380157,-0.1035052276804181,0.40823511085726155,-0.45160666997989807,-0.11809573916669909,0.42959293614117333,-0.775824846268535,-0.11873267468107827,0.4259587354335264,-1.0,-0.0934098896010044,0.27398451929710044,-0.7124058881561868,-0.02809970646770122,0.26353513756091773,-0.8524279928493543,-0.11793630535838684,0.23581423898288742,-0.6063118912864487,-0.15462515862179615,0.24179595068724827,-0.5635808490279127,-0.16913027404093228,0.11902746767744951,-0.7182011378724603,-0.009014220055504327,0.10308863017661501,-0.8383191902858033,-0.10394205962540856,0.11350379785332275,-0.5400922017906284,-0.11408768727259393,0.13343946800382753,-0.5342307492600862,-0.10533115971219545,-0.02291461135053741,-0.6989019975818356,-0.01101584105088311,-0.03466347829957052,-0.8303514868744112,-0.12665572132717323,-0.01045207064600595,-0.5461300097171637,-0.08876038204238615,0.0059702142968408095,-0.5191695162929391,-0.03820288816661008,-0.17054809254300402,-0.674721466030724,-0.02004813398860054,-0.1589918071699317,-0.7834943588526329,-0.08450134591456465,-0.13472184618694044,-0.597182022505248,-0.045333074401431646,-0.13314679407772248,-0.5546468070586664,-0.0009850355395567732
0,0.0,0.0,0.0,0.23889620045116972,-0.14670523867632965,-0.09464696053318183,0.4088285989606342,-0.45675803171058565,-0.10667640417496735,0.4303368276580837,-0.7765480134792457,-0.10851813426792148,0.4343570054742099,-1.0,-0.0850598639078197,0.2753573085593728,-0.7093015708465729,-0.01408464538461925,0.2651981305988234,-0.8551833572774927,-0.1054876409233129,0.23477034040772443,-0.6106727769424495,-0.1444758533329398,0.24182608533243485,-0.5649596197732835,-0.16063957091378395,0.12313320158343968,-0.715029861932596,-0.0002822496754188063,0.10541899258486154,-0.8376674758183715,-0.09763073826505816,0.11214789002613115,-0.5456231932083774,-0.10902064493738833,0.13286817126845116,-0.5378944290949922,-0.10012017651455365,-0.017374047218782183,-0.6967404568393969,-0.007993726088394461,-0.033448748557849045,-0.8375101082322849,-0.12477780261989452,-0.011458246459090623,-0.5548577672553743,-0.08594127726106036,0.008226385939659239,-0.5226911669444485,-0.03414511338259844,-0.1649764753026275,-0.6713974334104884,-0.02244217483186699,-0.16062820178777715,-0.7848344986732858,-0.0872404902289631,-0.1358629633444477,-0.5974404004940344,-0.04788087598481108,-0.12840760460829986,-0.549496913764597,-0.00278315667032306
0,0.0,0.0,0.0,0.2454668877137016,-0.145085015190597,-0.09981787314842469,0.42027707768542144,-0.45851769756421445,-0.11273620104811086,0.4381045559453808,-0.7810286612815581,-0.11531931753091332,0.44594080293609484,-1.0,-0.09188735669429678,0.2716808316592491,-0.7219160882376197,-0.013418979677287758,0.27382207682649334,-0.8732966072246042,-0.10772757064310241,0.24059641949413527,-0.6196944832888479,-0.14613924012083487,0.24054277153577655,-0.5720251879968394,-0.1610143632821539,0.12062416315260077,-0.727795680161714,0.0017783766104398878,0.10967325028679227,-0.8508618535163993,-0.09935381597203824,0.11678338057282187,-0.5496906269913533,-0.10928523070234697,0.13400970261646888,-0.5408331060616398,-0.09718046614678665,-0.018623785934552106,-0.7077636820519166,-0.0059012506451343125,-0.030358295460429396,-0.8489535189976393,-0.12810899314021487,-0.007051902623908558,-0.5553909562253222,-0.08748608613493176,0.008938366720619938,-0.5202838818167255,-0.03205148837031321,-0.16699319642947602,-0.6771921967081838,-0.020726434444301403,-0.15833120081141136,-0.7936129395137027,-0.08954322013575536,-0.13191509565692672,-0.5967335309646856,-0.04905454401408777,-0.12753381456985086,-0.5436594375263917,-0.0013756142396566412
0,0.0,0.0,0.0,0.24196056383968784,-0.14971231218560446,-0.10734193658354499,0.41404414779171267,-0.4588121272514536,-0.12311273728033977,0.43399227346314634,-0.7791402207838455,-0.12554262810410471,0.44444681347685183,-1.0,-0.1009788636018858,0.2652442559692135,-0.721403472153645,-0.02221564802473713,0.2749810726779243,-0.8698164947497254,-0.11624614750124332,0.2458075607544595,-0.6208819982464173,-0.15588028956613187,0.24466023212527643,-0.5797150727317886,-0.17156883262616363,0.11451759268402893,-0.7271821032818331,-0.0015854848515711182,0.1105188218377906,-0.8470586343001978,-0.10088252035302966,0.11988644354870082,-0.5519323075173638,-0.1130260363050964,0.13348989520398116,-0.5471776594757805,-0.10300880486733811,-0.023392823477659776,-0.7079315953114106,-0.003540079964275185,-0.03007153106325167,-0.84899008148474,-0.12299831067720307,-0.005237369566063087,-0.5608936089989317,-0.0843024457172871,0.007977342574055952,-0.5274737935141379,-0.030714447556529047,-0.16888342639890117,-0.6780320372980462,-0.013209219982600275,-0.1563125611584419,-0.7972227334344786,-0.08075676400826214,-0.13023115085599374,-0.6028645716440287,-0.04068828829545769,-0.12919094301454637,-0.5480290149114381,0.007042873636152213
0,0.0,0.0,0.0,0.24365077884177608,-0.15261566938595772,-0.10560889679032764,0.4161471589255193,-0.46278017032265767,-0.12105667949832355,0.4385834558631448,-0.7796997335443085,-0.12457028403926591,0.44987862084922486,-1.0,-0.10164499519233987,0.268740063889656,-0.72662616341123,-0.017014488756259376,0.27549839156298284,-0.8780211373254416,-0.11109695339910053,0.2472433591330114,-0.6320649942902352,-0.1506856474116844,0.24726528388353572,-0.5908919921481404,-0.1660082257996648,0.11938773034982572,-0.7336450690769587,0.002112496140677971,0.11215023025652891,-0.8520051350564632,-0.09685045459516564,0.12079931109634948,-0.5598004567811854,-0.10863375432609763,0.13562799949246535,-0.5562827938289757,-0.09814231804035563,-0.018575208425075197,-0.7148472544614535,-0.0018081079016512582,-0.02790768840357961,-0.8530922294952269,-0.12142747601051558,-0.0038405632141870864,-0.5664200520969391,-0.08277046727420222,0.010979821765772758,-0.533886334629537,-0.028949070723571904,-0.16456335226636612,-0.6848344168202954,-0.013460485238503125,-0.15358390368783634,-0.8045086616759093,-0.08075965277438509,-0.12722960718310805,-0.6097890745702749,-0.04023750376165193,-0.12432135899866399,-0.5533704405848591,0.008031427123370946
0,0.0,0.0,0.0,0.24703650797587004,-0.14871721209268507,-0.09909046040948613,0.4187420429625048,-0.4554757284914931,-0.11271430057111372,0.43611204818882504,-0.7791394491729827,-0.11617679622559453,0.44875394138005736,-1.0,-0.0943815318238538,0.27158299485462456,-0.7161930304188683,-0.014644222845391191,0.27341955280104097,-0.8723556667675747,-0.10679274403538268,0.2441440181091763,-0.6290608672135666,-0.14205735164728184,0.2460595557206684,-0.5797801763847994,-0.1544415549656443,0.12108574580806537,-0.7214872881574016,-9.046983763248025e-05,0.11262294368628228,-0.849204892808967,-0.10010191947925728,0.11953506804743833,-0.5549365799839888,-0.10974565007063623,0.1357786772684078,-0.5426947318972571,-0.09735128186350739,-0.01803262964385692,-0.7034348200194736,-0.007980272664341538,-0.02869647525171259,-0.8444861385541013,-0.13038118137498447,-0.005183180887295363,-0.5566479308310317,-0.0914214963297934,0.01076023074414472,-0.5190706414150087,-0.03659430879660253,-0.1671751528476427,-0.6733218575755208,-0.022693646488010078,-0.15759100792182884,-0.7994424634543591,-0.0926784333692444,-0.13094800396208414,-0.603592358249515,-0.05286037084149274,-0.1275900113182352,-0.5443787580260512,-0.005069724109510327
0,0.0,0.0,0.0,0.24733963802912592,-0.14197267056704946,-0.10906920866194432,0.42433755594556466,-0.45445735216653516,-0.12474166698886276,0.4407947922220124,-0.7796209344003973,-0.12656599824398804,0.454783738407944,-1.0,-0.10031484239038534,0.2735606141724576,-0.7182321923535421,-0.029727104897748016,0.2796674404549042,-0.873264438114037,-0.12801988674084672,0.24809601775031087,-0.6214935981978154,-0.16456750415878932,0.24741492908107973,-0.5794873795132204,-0.17720350858361536,0.12050853245456893,-0.72096517315348,-0.01037225969938563,0.1152335644696744,-0.8493697023181206,-0.11543766666182018,0.12164080486228301,-0.5473222545160098,-0.12386972534796038,0.13631112100406573,-0.5430526986732085,-0.11017203973676487,-0.019497569589840977,-0.7027518645083607,-0.014173466727228691,-0.027705325637081377,-0.8513473347811468,-0.1413921237327001,-0.005869795423991761,-0.5536088229486377,-0.09828024352667077,0.008360775968521401,-0.5196190854096818,-0.03990986513615905,-0.1689860311189263,-0.6745830722837229,-0.02566677648905581,-0.15729646240819978,-0.798829435107083,-0.09829983982786424,-0.13155184515584123,-0.5966634906281861,-0.05651914269085571,-0.12952451872328127,-0.5409603012692215,-0.006825813377264443
0,0.0,0.0,0.0,0.24577618770162282,-0.14269593865333532,-0.10174659789931172,0.4189648427413168,-0.46037044200383587,-0.11491842922642896,0.4403234725181253,-0.7812179585298683,-0.11637369974270574,0.45464938045647646,-1.0,-0.09151167856058276,0.27369283876440387,-0.7089146111485242,-0.02692237275247254,0.2891325139246585,-0.8676168211163392,-0.1211067084654101,0.26032763210156185,-0.6148702959888224,-0.1572812393192183,0.2533967051877962,-0.5707254793537012,-0.17102182644059138,0.12264439306550559,-0.713904243475529,-0.010091298429850055,0.12376890011891328,-0.8443059701415874,-0.11042425334366383,0.13167378966534965,-0.5447750579647385,-0.11913126821870404,0.1375752803819794,-0.5388083811403702,-0.10774329955697202,-0.016251979981327637,-0.6955557549947454,-0.015112287854571447,-0.017967177767465464,-0.8518981905064933,-0.1362500226447987,0.006112551753146747,-0.5554911684497744,-0.09166120736681874,0.011416160719430494,-0.5149254240108825,-0.03481054551769805,-0.16435434981386937,-0.6679672758267966,-0.027409826854868705,-0.14664455444314767,-0.7962761361971266,-0.09715255909415253,-0.11939928293413692,-0.5964136620742836,-0.05444318514508006,-0.12207686301288882,-0.5368064765479903,-0.005464352474526633
0,0.0,0.0,0.0,0.24976715660365392,-0.14096473238960183,-0.10423192629991736,0.4254492452362903,-0.45429077430481096,-0.11778742089440175,0.4427207132652969,-0.7801992316451071,-0.11862606296908078,0.4596429633913929,-1.0,-0.09184755635885779,0.2755878564287807,-0.71103086859742,-0.025513373843990543,0.288412270422263,-0.8718366520989317,-0.12250828064245142,0.2577617926166652,-0.6139722649253844,-0.16092243872905443,0.25469792462631796,-0.5713684358360239,-0.1759733764074387,0.12240691549606308,-0.7142753860651109,-0.0073824382309470105,0.12277699208993136,-0.8495593813897437,-0.1104143101632565,0.12901185302192408,-0.5431325638710106,-0.1204028506249641,0.1390910367656608,-0.5383360087829246,-0.10922335913531,-0.017419649679701114,-0.6971831517651926,-0.011742776211112188,-0.020298620947939727,-0.8547485706605618,-0.1352753804274087,0.0003067454552593349,-0.5545521780626221,-0.09119516186608075,0.009820101813063845,-0.5175724561080287,-0.03387436716222508,-0.16717372476947842,-0.6729719689396159,-0.023481372494593693,-0.15281813184655857,-0.799258789720233,-0.09329458675138626,-0.12701191984524174,-0.5965215631672893,-0.0504076434047235,-0.12636869822136715,-0.5397734651778784,-0.0010488287659939058
0,0.0,0.0,0.0,0.2518470374161051,-0.1417243829622962,-0.10493290059600562,0.4294691291701132,-0.4615420776286918,-0.11657181947152363,0.4521401490115569,-0.7811946760795327,-0.1151040050539607,0.4637858254556928,-1.0,-0.08609543180304512,0.28449039517979224,-0.702985326932815,-0.031461920369192,0.29273495795781623,-0.8652497099063935,-0.12460996497093123,0.26563774242395466,-0.6042446274626461,-0.1587032031526841,0.2640133874603219,-0.559132744690737,-0.17129986341419426,0.1313108169423316,-0.7078754091443371,-0.011433613002393905,0.12719130909452622,-0.8406798955493784,-0.11137942126847748,0.13410410200163178,-0.5404962401123256,-0.11828478672625,0.14120455552732916,-0.5333609997986127,-0.10599251085987563,-0.008670089811965188,-0.6930701521649323,-0.013468720163799524,-0.016561143609074725,-0.8500288918377221,-0.13142568393580428,0.004827371974748177,-0.5547996271608472,-0.08444734895934365,0.012022690011547333,-0.514602271370417,-0.027320565008237707,-0.15664020551658286,-0.6708028471011606,-0.02339713095195344,-0.14304209709048946,-0.7977607086425988,-0.08874002097201883,-0.11892399387677316,-0.5990694816260886,-0.044136142828068846,-0.12156440510549704,-0.5408587748544549,0.005157459657733912
